start,duration,text,clean_text
5.6,2.8,today what we're going to be talking,todaywhatweregoingtobetalking
6.56,3.48,about is Right harnessing sort of the,aboutisrightharnessingsortofthe
8.4,3.96,power of AI and the future of AI are an,powerofaiandthefutureofaiarean
10.04,4.839,industry and a future of AI in multiple,industryandafutureofaiinmultiple
12.36,5.16,Industries so that's why we have such a,industriessothatswhywehavesucha
14.879,5.361,luminous uh panel of folks up here uh,luminousuhpaneloffolksuphereuh
17.52,5.04,with backgrounds and expertise uh that,withbackgroundsandexpertiseuhthat
20.24,5.0,span all the way from legal to Cellular,spanallthewayfromlegaltocellular
22.56,5.32,to real time to uh slow time everything,torealtimetouhslowtimeeverything
25.24,4.84,you could possibly want so why don't we,youcouldpossiblywantsowhydontwe
27.88,3.96,just go down the the line real quick and,justgodownthethelinerealquickand
30.08,2.72,everyone please introduce yourself those,everyonepleaseintroduceyourselfthose
31.84,3.44,of you who have not met these,ofyouwhohavenotmetthese
32.8,4.079,illustrious gentlemen so far and just,illustriousgentlemensofarandjust
35.28,4.16,sort of you know say who you are what,sortofyouknowsaywhoyouarewhat
36.879,5.721,you're up to and uh why they would love,youreuptoanduhwhytheywouldlove
39.44,6.52,to hear from you uh I'm James tag I'm a,tohearfromyouuhimjamestagima
42.6,6.959,reforming AI person um I did actually,reformingaipersonumididactually
45.96,6.36,start an AI company before covid um,startanaicompanybeforecovidum
49.559,5.121,which is currently in deep sleep but may,whichiscurrentlyindeepsleepbutmay
52.32,4.96,reemerge which I can talk about uh as we,reemergewhichicantalkaboutuhaswe
54.68,5.679,go along um and you probably know me,goalongumandyouprobablyknowme
57.28,5.52,from studying Tree phone so I built um,fromstudyingtreephonesoibuiltum
60.359,6.281,treeone which is an international mobile,treeonewhichisaninternationalmobile
62.8,5.959,operator I'm Jeff Pulver and um I'm,operatorimjeffpulverandumim
66.64,4.64,fairly deep into AI particularly with,fairlydeepintoaiparticularlywith
68.759,4.961,voice and I'll get back to it tomorrow,voiceandillgetbacktoittomorrow
71.28,5.44,but also here today just two words,butalsoheretodayjusttwowords
73.72,3.0,virtualized,virtualized
77.72,5.439,conversations I'm Diego goar and the,conversationsimdiegogoarandthe
80.119,4.401,chief AI officer of XC member and,chiefaiofficerofxcmemberand
83.159,5.0,ambassador of the,ambassadorofthe
84.52,5.72,Linux Foundation beta and AI happy to be,linuxfoundationbetaandaihappytobe
88.159,3.881,here,here
90.24,4.12,I'm Christian cner I'm the co-founder,imchristiancnerimthecofounder
92.04,5.16,and CTO of atomic Canyon we're currently,andctoofatomiccanyonwerecurrently
94.36,5.119,doing AI in the nuclear energy sector,doingaiinthenuclearenergysector
97.2,4.279,but I've certainly spent my time uh,butivecertainlyspentmytimeuh
99.479,4.241,doing automatic speech recognition,doingautomaticspeechrecognition
101.479,6.64,speech synthesis and uh you know even,speechsynthesisanduhyouknoweven
103.72,8.039,some RFC 2833 time stamp,somerfc2833timestamp
108.119,7.081,debugging I'm Anthony Manali I dabble in,debuggingimanthonymanaliidabblein
111.759,6.241,voice over IP um and looking for,voiceoveripumandlookingfor
115.2,5.16,practical applications uh in AI to,practicalapplicationsuhinaito
118.0,5.92,combine it with the wonderful for World,combineitwiththewonderfulforworld
120.36,5.84,of Telecom right well thank you all very,oftelecomrightwellthankyouallvery
123.92,4.759,much uh and so yeah let's kick this off,muchuhandsoyeahletskickthisoff
126.2,5.119,I think and just start talking about AI,ithinkandjuststarttalkingaboutai
128.679,4.041,in in sort of in a general topic right,ininsortofinageneraltopicright
131.319,2.881,so we're all working it's interesting,sowereallworkingitsinteresting
132.72,3.32,working in atomic stuff now we love to,workinginatomicstuffnowweloveto
134.2,3.8,hear more about that really interested,hearmoreaboutthatreallyinterested
136.04,3.8,to hear people's use cases and what,tohearpeoplesusecasesandwhat
138.0,3.319,they're doing with AI we'll start with,theyredoingwithaiwellstartwith
139.84,2.96,sort of a practical sort of approach of,sortofapracticalsortofapproachof
141.319,2.801,what everyone's really trying to think,whateveryonesreallytryingtothink
142.8,2.96,that the future of what they could use,thatthefutureofwhattheycoulduse
144.12,4.119,it for in the industry is and then,itforintheindustryisandthen
145.76,4.8,potentially move into what we think the,potentiallymoveintowhatwethinkthe
148.239,3.441,future of where this is going I know a,futureofwherethisisgoingiknowa
150.56,2.6,lot of you have done a lot of actual,lotofyouhavedonealotofactual
151.68,3.32,real practical work and Jee I know you,realpracticalworkandjeeiknowyou
153.16,3.32,have a lot of background in also the,havealotofbackgroundinalsothe
155.0,3.519,policy side of things which is very,policysideofthingswhichisvery
156.48,3.759,interesting so as first up like why,interestingsoasfirstuplikewhy
158.519,6.201,don't we hear from some people about,dontwehearfromsomepeopleabout
160.239,6.321,that and see where it going so um yes I,thatandseewhereitgoingsoumyesi
164.72,5.439,have a little background in voice over,havealittlebackgroundinvoiceover
166.56,7.039,ip2 and uh but on the AI front,ip2anduhbutontheaifront
170.159,5.44,um I I I believe what the true value for,umiiibelievewhatthetruevaluefor
173.599,4.121,AI particularly AI in business will come,aiparticularlyaiinbusinesswillcome
175.599,4.56,from the second and third derivatives of,fromthesecondandthirdderivativesof
177.72,4.4,the ability to discern and what's,theabilitytodiscernandwhats
180.159,4.521,amazing is three and a half years ago a,amazingisthreeandahalfyearsagoa
182.12,4.6,project kicked off at the ITF that's,projectkickedoffattheitfthats
184.68,5.36,resulting in two new rfc's coming into,resultingintwonewrfcscominginto
186.72,6.28,the vernacular this year one is called,thevernacularthisyearoneiscalled
190.04,5.04,vcon for virtualized conversations and,vconforvirtualizedconversationsand
193.0,4.44,uh it has on the team some of the folks,uhithasontheteamsomeofthefolks
195.08,3.64,who worked on Sip and my very humble,whoworkedonsipandmyveryhumble
197.44,3.4,opinion is that the introduction of,opinionisthattheintroductionof
198.72,4.48,econs into this industry will be bigger,econsintothisindustrywillbebigger
200.84,5.28,than Sip and there's another companion,thansipandtheresanothercompanion
203.2,5.599,protocol uh called skit called uh which,protocoluhcalledskitcalleduhwhich
206.12,4.839,is supply chain Integrity transport and,issupplychainintegritytransportand
208.799,4.201,trust or transportation trust and the,trustortransportationtrustandthe
210.959,4.121,two of them together offer amazing,twoofthemtogetherofferamazing
213.0,7.72,things but the most valuable part of,thingsbutthemostvaluablepartof
215.08,7.4,this is that the the information from uh,thisisthatthetheinformationfromuh
220.72,4.64,the the,thethe
222.48,5.64,conversations become a way to drive,conversationsbecomeawaytodrive
225.36,5.28,business and never before in our history,businessandneverbeforeinourhistory
228.12,4.479,of people and fact matter in the history,ofpeopleandfactmatterinthehistory
230.64,3.959,of just the internet or even just in,ofjusttheinternetorevenjustin
232.599,3.681,business as a whole have we had the,businessasawholehavewehadthe
234.599,3.961,ability to not only it's it's not about,abilitytonotonlyitsitsnotabout
236.28,3.92,recording it's understanding and then,recordingitsunderstandingandthen
238.56,4.16,what happens because we now better,whathappensbecausewenowbetter
240.2,4.84,information and and and that offers the,informationandandandthatoffersthe
242.72,4.76,opportunity for Next Generation services,opportunityfornextgenerationservices
245.04,3.839,but perhaps for some people here it's a,butperhapsforsomepeoplehereitsa
247.48,3.64,chance for the very first time to get,chancefortheveryfirsttimetoget
248.879,3.64,rid of flat rate pricing again no longer,ridofflatratepricingagainnolonger
251.12,2.72,are we talking about dump pipes no,arewetalkingaboutdumppipesno
252.519,3.36,longer we're talking about flat rate,longerweretalkingaboutflatrate
253.84,4.239,pricing for a Communication Service,pricingforacommunicationservice
255.879,5.561,we're talking about valuable information,weretalkingaboutvaluableinformation
258.079,5.241,being delivered by understanding the,beingdeliveredbyunderstandingthe
261.44,4.12,context and the subtlety of what a,contextandthesubtletyofwhata
263.32,4.92,conversation is also from a public,conversationisalsofromapublic
265.56,6.199,policy perspective this protocol at the,policyperspectivethisprotocolatthe
268.24,5.6,ITF was created not not in the dark not,itfwascreatednotnotinthedarknot
271.759,4.201,just by Engineers but by active,justbyengineersbutbyactive
273.84,4.44,participation from folks from the from,participationfromfolksfromthefrom
275.96,4.28,the EU dealing with gdpr dealing with,theeudealingwithgdprdealingwith
278.28,4.68,regulatory work dealing with emergency,regulatoryworkdealingwithemergency
280.24,5.12,services so you can be assured that if,servicessoyoucanbeassuredthatif
